week,letter,day,classes,room,lesson,notes,hwk,event,time,break,lunch
9,A,THU,7Y1.CS,B8,5,COVER: Y7 Autumn Lesson 5 - Social media - posted on Go4,*, ,1355  1510, , 
9,A,FRI,7X2.Ph,B6,1,"COVER: Continue working with the Checkpoint assessment on Forces used last lesson, using Activate 1 books to help - class could sit the test next lesson", , ,0850  0955, , 
9,A,FRI,10T2,B8,2,COVER: Crash Hazards - lesson posted on Go4,*, ,0955  1100, , 
9,A,FRI,11C2,G4,3,Now in temporary collapsed class, , ,1100  1220,11:40, 
9,A,FRI,11CS,G4,4,COVER: Cyber threats 1/2 - lesson on Go4,*, ,1220  1355, ,13:25
9,A,FRI,11CS,G4,5,COVER: Cyber threats 2/2 - lesson on Go4, , ,1355  1510, , 
10,B,MON,10C3,B8,1,collapsed class?, ,briefing,0850  0955, , 
10,B,MON,11T2,B8,2,"COVER: Flux density, lesson on Go4. Pupils go on to do Questions on SP12c.3 worksheets.",*, ,0955  1100, , 
10,B,MON,7X1.Ph,B8,3,"COVER: Continue from last lesson, working on Checkpoint document with Activate 1 books. They can do test next lesson.",*, ,1100  1220,11:00, 
10,B,MON,PPA,-,4,..., , ,1220  1355, , 
10,B,MON,10CS,B8,5,COVER: Lesson on Go4 - python coding  practice, , ,1355  1510, , 
10,B,TUE,10C3,B8,1,collapsed class, , ,0850  0955, , 
10,B,TUE,9Y1.CS,G4,2,COVER: Lesson on Go4 - Logic Gates and Circuits, , ,0955  1100, , 
10,B,TUE,11C2,B8,3,collapsed class, , ,1100  1220,11:40, 
10,B,TUE,11T2,G4,4,"COVER: Transformers, HTML lesson attached to email", , ,1220  1355, ,13:25
10,B,TUE,8Y1.Ph,B8,5,"COVER: P2 1.1 Charging Up, Activate 2, p122-123 - draw atom (p122) and not keyword meanings (atom, proton, electron, neutron, neutal, charge), draw jumper diagram (p123) then answer A & B and do Q1-3", , ,1355  1510, , 
10,B,WED,11C2,B8,1,COVER:  The Motor Effect - lesson on Go4, , ,0850  0955, , 
10,B,WED,10T2,B5,2,COVER: Use books to summarise SP2 on one sheet of A4. They can use Seneca to revise tomorrow. Sit test next week., , ,0955  1100, , 
10,B,WED,9Y2.Ph,B3,3,"P2,3.6, Activate 2 p168-169. Turning forces. Copy seesaw diagram and worked example. Do tasks A-C and Q1-3.", ,break duty,1100  1220,11:00, 
10,B,WED,11CS,G4,4,COVER: Cyber Security 1/2 - Lesson on Go4, , ,1220  1355, ,13:25
10,B,WED,11CS,G4,5,COVER: Cyber Security 2/2 - Lesson on Go4, , ,1355  1510, , 
10,B,THU,8Y1.Ph,B8,1,"COVER: P2, 1.2 Circuits and current, Draw torch picture and circuit diagram next to it. Note keywords in bold and meanings from glossary. Do rasks A & B and Q 1 & 2, then logon to computers and find circuit symbols for: AC power supply, resistor, buzzer, LED, light sensor, battery, thermistor - netly draw symbols in book with decription of component function", ,briefing,0850  0955, , 
10,B,THU,10C3,B8,2,"COVER - Crash Hazards, lesson on Go4",*, ,0955  1100, , 
10,B,THU,10T2,B8,3,"COVER: Join Seneca class, skxqt5q60 and complete assignment 'SP1/SP2 Forces and Motion' - deadline Monday, finish at home if not done in class. Test next week.", , ,1100  1220,11:20, 
10,B,THU,7Y1.Ph,B5,4,"COVER: Continue from last lesson, working on Checkpoint document and using Activate 1 books to review learning on Forces topic - they can do test next lesson", , ,1220  1355, ,12:20
10,B,THU,8X1.Ph,B3,5,"COVER: P2 1.1 Charging Up, Activate 2, p122-123 - draw atom (p122) and note keyword meanings in bold using glossary. Draw jumper diagram and do tasks A & B and Q1-3",*, ,1355  1510, , 
10,B,FRI,PPA,-,1,..., , ,0850  0955, , 
10,B,FRI,11T2,B8,2,cover not required?, , ,0955  1100, , 
10,B,FRI,PPA,-,3,..., , ,1100  1220, , 
10,B,FRI,10CS,G4,4,"COVER: 'Cinema assessment' , Python code. Resources on Go4. 1/2", , ,1220  1355, ,12:50
10,B,FRI,10CS,G4,5,"COVER: 'Cinema assessment' , Python code. Resources on Go4. 2/2", , ,1355  1510, , 
11,A,MON,11CS,G4,1,COVER: Operating systems - lesson on Go4, ,briefing,0850  0955, , 
11,A,MON,10C3,B8,2,"COVER: HWK task (MC 12.1120) on Go4 suggests they are doing the CP1/2 test today, but in case they are not I have posted a link to a Seneca revision assignment on Go4", , ,0955  1100, , 
11,A,MON,7X2.Ph,B6,3,COVER: Test on Forces, ,break duty,1100  1220,11:00, 
11,A,MON,8X1.Ph,B8,4,"COVER: P2, 1.2 Circuits and current, Draw torch picture and circuit diagram alongside. Make note of keywords in BOLD and their meanings from the glossary. Do the tasks and questions on the page spread. When done, pupils can logon and find circuit symbols for common components noting the name, symbol and function of the component in their books. ", , ,1220  1355, ,12:50
11,A,MON,11C2,B8,5,COVER: Transformers - lesson on Go4,*, ,1355  1510, , 
11,A,TUE,10T2,B5,1,COVER: Not sure which class to set cover for here., , ,0850  0955, , 
11,A,TUE,PPA,-,2,..., , ,0955  1100, , 
11,A,TUE,PPA,-,3,..., , ,1100  1220, , 
11,A,TUE,11T2,B8,4,no cover needed?, , ,1220  1355, ,13:25
11,A,TUE,7X1.Ph,B8,5,COVER: Test on Forces topic, , ,1355  1510, , 
